"product_category_name","total_order","total_revenue","avg_order_value"
"beleza_saude","8647","1233131.72","142.61"
"relogios_presentes","5495","1166176.98","212.23"
"cama_mesa_banho","9272","1023434.76","110.38"
"esporte_lazer","7530","954852.55","126.81"
"informatica_acessorios","6530","888724.61","136.10"
"moveis_decoracao","6307","711927.69","112.88"
"utilidades_domesticas","5743","615628.69","107.20"
"cool_stuff","3559","610204.10","171.45"
"automotivo","3810","578966.65","151.96"
"brinquedos","3804","471286.48","123.89"
"ferramentas_jardim","3448","470495.28","136.45"
"bebes","2809","400421.84","142.55"
"perfumaria","3086","390144.65","126.42"
"telefonia","4093","309860.23","75.70"
"moveis_escritorio","1254","268154.31","213.84"
"papelaria","2264","223788.69","98.85"
"pcs","177","218684.14","1235.50"
"pet_shop","1688","211695.64","125.41"
"instrumentos_musicais","611","184315.74","301.66"
"eletroportateis","609","182754.12","300.09"
"unknown","1392","170726.63","122.65"
"eletronicos","2517","155043.93","61.60"
"fashion_bolsas_e_acessorios","1820","149329.39","82.05"
"consoles_games","1018","148003.37","145.39"
"construcao_ferramentas_construcao","736","142108.49","193.08"
"malas_acessorios","1019","138701.63","136.12"
"eletrodomesticos_2","227","107953.95","475.57"
"casa_construcao","483","81407.57","168.55"
"eletrodomesticos","747","78832.48","105.53"
"agro_industria_e_comercio","177","70566.10","398.68"
"moveis_sala","414","67350.70","162.68"
"casa_conforto","392","58008.45","147.98"
"telefonia_fixa","212","55315.21","260.92"
"climatizacao","246","53323.56","216.76"
"audio","348","50570.60","145.32"
"portateis_casa_forno_e_cafe","72","46589.56","647.08"
"moveis_cozinha_area_de_servico_jantar_e_jardim","241","45531.98","188.93"
"livros_interesse_geral","496","45302.15","91.33"
"construcao_ferramentas_iluminacao","242","39957.00","165.11"
"construcao_ferramentas_seguranca","159","38773.22","243.86"
"industria_comercio_e_negocios","232","38498.81","165.94"
"alimentos","441","28731.15","65.15"
"market_place","274","27795.77","101.44"
"construcao_ferramentas_jardim","190","25096.28","132.09"
"artes","195","23657.30","121.32"
"fashion_calcados","235","23001.46","97.88"
"bebidas","287","21529.84","75.02"
"sinalizacao_e_seguranca","138","21315.05","154.46"
"moveis_quarto","90","19051.80","211.69"
"livros_tecnicos","256","18702.23","73.06"
"construcao_ferramentas_ferramentas","97","15903.95","163.96"
"alimentos_bebidas","221","14942.88","67.61"
"fashion_roupa_masculina","106","10452.33","98.61"
"fashion_underwear_e_moda_praia","117","9305.95","79.54"
"artigos_de_natal","125","8737.84","69.90"
"tablets_impressao_imagem","79","7528.41","95.30"
"cine_foto","63","6674.47","105.94"
"musica","38","6034.35","158.80"
"dvds_blu_ray","56","4542.59","81.12"
"artigos_de_festas","38","4465.19","117.51"
"livros_importados","50","4418.86","88.38"
"moveis_colchao_e_estofado","37","4323.38","116.85"
"portateis_cozinha_e_preparadores_de_alimentos","13","3933.63","302.59"
"fashion_roupa_feminina","36","2634.94","73.19"
"fashion_esporte","26","2094.52","80.56"
"la_cuisine","13","2054.99","158.08"
"artes_e_artesanato","23","1814.01","78.87"
"fraldas_higiene","25","1500.79","60.03"
"pc_gamer","7","1306.95","186.71"
"flores","29","1110.04","38.28"
"casa_conforto_2","24","760.27","31.68"
"cds_dvds_musicais","12","730.00","60.83"
"fashion_roupa_infanto_juvenil","7","519.95","74.28"
"seguros_e_servicos","2","283.29","141.65"
