"state","total_orders","total_sellers"
"SP","40501","1849"
"RJ","12350","171"
"MG","11354","244"
"RS","5345","129"
"PR","4923","349"
"SC","3546","190"
"BA","3256","19"
"DF","2080","30"
"ES","1995","23"
"GO","1957","40"
"PE","1593","9"
"CE","1279","13"
"PA","946","1"
"MT","886","4"
"MA","717","1"
"MS","701","5"
"PB","517","6"
"PI","476","1"
"RN","474","5"
"AL","397","0"
"SE","335","2"
"TO","274","0"
"RO","243","2"
"AM","145","1"
"AC","80","1"
"AP","67","0"
"RR","41","0"
